dict-idx,long-text,short-text,WD-PID,phrase11,phrase12,phrase13,phrase21,phrase22,phrase23,sample1,sample2,sample3
34,/government/legislative_session/members./government/government_position_held/legislative_sessions,legislative member overlap with,,/government/membership_of_legislative_session,/government/legislative_session/members-legislative_sessions,legislative_session/members/government_position_held_legislative_sessions,/government/government_position_held/legislative_sessions,/government/legislative_session/members.,/government/legislative_session/members.,"['109th United States Congress', '92nd United States Congress']","['88th United States Congress', '112th United States Congress']","['112th United States Congress', '105th United States Congress']"
35,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,estimated budget currency,P38,estimatedBudgetCurrency,filmEstimatedBudgetCurrency,P2130,estimated budget in United States dollars,estimated budget in United States dollar,estimated budget in United States dollars,"['Days of Heaven', 'United States dollar']","['Contraband', 'United States dollar']","['Wag the Dog', 'United States dollar']"
36,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,registration agency,,registeredWithAgency,registeredWithRegisteringAgency,registered_with_registering_agency,Registered with IRS.,registered with registering agency,registered with registering agency Internal Revenue Service,"['Swarthmore College', 'Internal Revenue Service']","['New York Law School', 'Internal Revenue Service']","['California College of the Arts', 'Internal Revenue Service']"
37,/organization/organization/headquarters./location/mailing_address/country,headquarters country,P159,countryOfMailingAddress,countryOfHeadquarters,/P17,Headquarters located in United States of America.,The country is United States of America.,The headquarters mailing address country is United States of America.,"['Vassar College', 'United States of America']","['Hofstra University', 'United States of America']","['DePaul University', 'United States of America']"
38,/base/biblioness/bibs_location/country,country,P17,located in,countryLocatedIn,countryOf,countries of biblioness locations,is located in,biblioness located in country,"['Sheffield', 'England']","['Whanganui', 'New Zealand']","['Nassau', 'The Bahamas']"
39,/education/educational_institution/students_graduates./education/education/student,notable alumini,P69_inv,P802,P802 (student),P69/educated by,"/education/education/student in (University of North Carolina at Chapel Hill, James K. Polk)",students of,/students_graduates./student,"['University of North Carolina at Chapel Hill', 'James K. Polk']","['Indiana University', 'Robert Gates']","['Grinnell College', 'Peter Coyote']"
40,/music/group_member/membership./music/group_membership/role,instrument,P1303,P674,P5278,/music/role,played instrument,/membership role: keyboard instrument,/music/group_membership/role,"['George Duke', 'synthesizer']","['Mike Patton', 'synthesizer']","['Maurice Gibb', 'harmonica']"
41,/location/administrative_division/country,located in country,P131,located_in_country,countryOf,countryOf,is part of the country,"/country has administrative division of American Samoa, Dorset, Saxony-Anhalt, Manipur, Bali, Derby, Hamburg, Pomeranian Voivodeship, Maine, and East Sussex.",is in,"['Tbilisi', 'Georgia']","['Rhode Island', 'United States of America']","['Gifu Prefecture', 'Japan']"
42,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,appears in ranked lists,,rankedListRankedItem,rankedInList,P793,appears in ranked lists,/appears_in National Film Registry,/award/ranking/list,"['University of Toronto', 'Times Higher Education World University Rankings']","['University of Utah', 'Times Higher Education World University Rankings']","['Kraft Foods Group', 'Fortune 500']"
43,/base/eating/practicer_of_diet/diet,dietary practice,P1576,diet practiced,practicerOfDiet,practicer_of_diet,practices diet,practices vegetarian diet,practices diet,"['Russell Brand', 'vegetarianism']","['Alanis Morissette', 'vegetarianism']","['Nastassja Kinski', 'vegetarianism']"
44,/film/special_film_performance_type/film_performance_type./film/performance/film,film with this special performance,,P6745,film_special_performance_type/film_performance_type_performance_film,P453,/special_film_performance_type/perform_in,special film performance type relations.,/film/special_film_performance_type/film_performance_type./film/performance/film,"['cameo appearance', 'The Muppet Movie']","['cameo appearance', 'The Life Aquatic with Steve Zissou']","['seiy??', 'Sailor Moon R: The Movie']"
45,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,nomination shared with,P1706,nominatedFor,/p/nominated_for,P1686,nominated_for,nominated_for,nominated_for,"['Almost Famous', 'Wonder Boys']","['Basic Instinct', 'Shining Through']","['The Longest Yard', 'The Dukes of Hazzard']"
46,/film/director/film,director of,P57_inv,directorOf,directorOfFilm,instance of,/film/director/film,/film/director/film- relates a director to a film they directed.,/film/director/film,"['Ethan Coen', 'Burn After Reading']","['Sidney Lumet', 'Murder on the Orient Express']","['David Zucker', 'Scary Movie 3']"
47,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,national team has member from clubs,,currentClubOf,currentClub,currentClub,current club,current_club,current club,"['North Korea national football team', 'Suwon Samsung Bluewings FC']","['Switzerland national association football team', 'SS Lazio']","['Serbia national football team', 'Borussia Dortmund']"
48,/olympics/olympic_games/participating_countries,participating countries,P710,participatingCountryOf,participantCountry,hasParticipatingCountry,participating countries in Olympic Games,participated in the Olympic Games,participating countries in Olympic Games,"['2008 Summer Olympics', 'Netherlands']","['2008 Summer Olympics', 'Thailand']","['1900 Summer Olympics', 'Spain']"
49,/music/performance_role/regular_performances./music/group_membership/role,instrument regularly plays alongside,P1706,/music/performance/regular_performances/group_role,/music/instrument/played_in_band_with,/music/performer/role,regularly performs as part of a group,regularly performs with,regularly performs as a member of a music group,"['guitar', 'cowbell']","['bass', 'tuba']","['violin', 'oboe']"
50,/music/artist/track_contributions./music/track_contribution/role,instrument played,P1303,instrument played,musicTrackContributionRole,hasRole,track contribution role.,track_contributions.role,music/track_contribution/role,"['Mike Mogis', 'vibraphone']","['Yann Tiersen', 'vibraphone']","['Serj Tankian', 'melodica']"
51,/base/aareas/schema/administrative_area/administrative_area_type,administrative area type,,,,,,,,,,
52,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,distribution format,P437,distributionMedium,filmDistributionMedium,hasDistributionMedium,film_distribution_medium,film_distribution_medium,film_distribution_medium,"['Grease', 'VHS']","['Holes', 'streaming media']","['Uwe Boll', 'streaming media']"
53,/olympics/olympic_games/sports,includes sports,P527,instance of,instance of sport in Olympic Games,wikidata:hasSport,Sports featured in Olympic Games,sports played in Olympic Games,Olympic games feature sports.,"['1980 Summer Olympics', 'show jumping']","['2002 Winter Olympics', 'biathlon']","['1988 Summer Olympics', 'canoe sprint']"
54,/soccer/football_team/current_roster./soccer/football_roster_position/position,position currently played on soccer team,,/soccer/roster_position,/soccer/roster_position,/soccer/roster_position,"football team's current roster position is for: forward, midfielder, goalkeeper, defender",current roster position.,position of player in current roster,"['Celtic F.C.', 'forward']","['Rotherham United F.C.', 'midfielder']","['SS Lazio', 'goalkeeper']"
55,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,participated in olympics,P1344,/olympics/athlete_affiliation,olympicParticipatingCountryAthletesAffiliationOlympics,/olympics/athlete_affiliation,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,/olympics/athlete_affiliation,"['Spain', '1984 Winter Olympics']","['Australia', '2012 Summer Olympics']","['France', '2008 Summer Olympics']"
56,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,military conflicts with,P607,hasCombatants,hasCombatants,combatants???,/military_combatants /military_conflicts./combatants,combatants in military conflicts,combatants in military conflicts,"['Thailand', 'Empire of Japan']","['United Kingdom', 'British Raj']","['Canada', 'Belgium']"
57,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,regularly appeared on tv programs,,/tv/tv_regular_personal_appearance/program,/tv/personality/regularAppearancesInProgram,/tv/tv_regular_personal_appearance/program,(tv_regular_personal_appearance/program),tv_regular_appearance/program,/tv/tv_regular_personal_appearance/program,"['Diane Sawyer', 'Good Morning America']","['Shannen Doherty', 'Dancing with the Stars']","['Bill Hader', 'Saturday Night Live']"
58,/common/topic/webpage./common/webpage/category,webpage category,,,,,,,,,,
59,/music/genre/artists,notable musical genre artists,P136_inv,/musical_genre/has_artists,genreArtist,P674 --> Artist,/music/genre/artists,(artist belongs to genre),/artists in music genres,"['folk music', 'Norah Jones']","['rock and roll', 'The Mothers of Invention']","['rock music', 'James Brown']"
60,/film/film/featured_film_locations,filming location,P915,location of,location featured in,located_in,featured film locations of,featured_film_locations in The Terminal is New York City.,featured_film_locations in Dalian,"['EDtv', 'San Francisco']","['24: Redemption', 'Los Angeles']","['Big Daddy', 'New York City']"
61,/location/location/adjoin_s./location/adjoining_relationship/adjoins,shares border with,P47,adjoins,adjoins,adjoins,adjoins,adjoins,adjoins,"['Nova Scotia', 'Quebec']","['Park County', 'Teton County']","['Lake County', 'Cuyahoga County']"
62,/sports/sports_team/colors,sports team official color,P6364,hasTeamColors,P462:colorSchemes,P462:colorHexCode,colors of sports teams,Colors of sports teams,"The sports team colors are white, blue, white, cardinal, white, green, yellow, gray, black, and green.","['Hamburger SV', 'blue']","['Bolton Wanderers F.C.', 'white']","[""Wake Forest Demon Deacons men's basketball"", 'old gold']"
63,/tv/tv_program/program_creator,tv program creator,,hasCreator,creator.,creator,tv program program creator.,TV program creator,tv program creator,"['The Vampire Diaries', 'Kevin Williamson']","['The Challenge', 'Mary-Ellis Bunim']","['The Colbert Report', 'Jon Stewart']"
64,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,operating income currency,P38,P3031,P2130: USD,P777:currency,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,The currency for operating income is United States dollar.,/operating_income currency: United States dollar,"['Norwich University', 'United States dollar']","['Beloit College', 'United States dollar']","['Baylor University', 'United States dollar']"
65,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,position currently played on ice hockey team,,hasPosition,/ice_hockey/position,hasPosition,hockey_team/current_roster./sports/sports_team_roster/position,/current_roster./sports/sports_team_roster/position,hockey team roster position,"['Providence Bruins', 'centre']","['San Jose Sharks', 'centre']","['Oklahoma City Barons', 'centre']"
66,/film/film/prequel,followed by,P156,hasPrequel,instance of prequel (P1552),instance of (P31),/film/film/prequel,/film/film/prequel,is prequel to,"['Queen of the Damned', 'Interview with the Vampire']","['Jackass Number Two', 'Jackass: The Movie']","['Hannibal', 'Hannibal Rising']"
67,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,endowment currency,P38,/organization/endowed_organization/endowment_currency,P2130:USD,P2130: currency,/endowment currency,The endowment currency is in United States dollar.,currency of endowed organization's endowment,"['Southern Illinois University Carbondale', 'United States dollar']","['Stetson University', 'United States dollar']","['Brunel University London', 'pound sterling']"
68,/film/film_set_designer/film_sets_designed,designed film set,P4608_inv,filmSetDesignedBy,/film/film_set_designer/film_sets_designed,designedFilmSets,film film_set_designer film_sets_designed.,/film/film_set_designer/film_sets_designed,/film/film_set_designer/film_sets_designed,"['Ray Moyer', 'Sunset Boulevard']","['Henry Grace', 'North by Northwest']","['Paul S. Fox', 'South Pacific']"
69,/film/film/film_art_direction_by,film art direction by,P2554,P747,P745: art director,P745,film_art_direction_by,film_art_direction_by,Art direction by,"['On the Waterfront', 'Richard Day']","['Joan of Arc', 'Richard Day']","['Vertigo', 'Henry Bumstead']"
70,/language/human_language/countries_spoken_in,spoken in country,,instance of (P31),countrySpokenIn,countrySpokenIn,countries spoken in,spoken in_countries,spoken in,"['Dutch', 'Indonesia']","['Portuguese', 'Andorra']","['French', 'Monaco']"
71,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,ceremony location,,locationOfCeremony,locationOfCeremony,locationOfCeremony,marriage location ceremony,Marriages took place at various locations.,Location of marriage ceremonies.,"['marriage', 'Los Angeles']","['marriage', 'Laguna Beach']","['marriage', 'Bellingham']"
72,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,screenwriter of,P58_inv,writerOf,writtenBy,writerOfWork,tv_programs_written_by_writer,TV Program Writer for,tv_program_writer_relationship.,"['Elizabeth Sarnoff', 'Deadwood']","['David Fury', 'Angel']","['John Swartzwelder', 'Saturday Night Live']"
73,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,has politician members,P102_inv,/government/political_party/politician,/political_party/member: Ronald Reagan,/government/political_party/politician,"(political party, members, politician)",/political_party/politicians_in_party_tenure,"(politician, belongs to, political party)","['Democratic Party', 'Grover Cleveland']","['Communist Party USA', 'Dalton Trumbo']","['Republican Party', 'Ron Paul']"
74,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,position historically played on football team,,/sports/football_position,/wdt/P794,hasPosition,positioned as,football historical roster position position s.,football historical roster position is wide receiver,"['Los Angeles Rams', 'placekicker']","['Omaha Nighthawks', 'lineman']","['Alabama Crimson Tide football', 'wide receiver']"
75,/film/film/release_date_s./film/film_regional_release_date/film_release_region,film release regions,,country of release date,/film/regional_release_region,/film/film_regional_release_date,regional release region,film release region,/film/film_regional_release_date/film_release_region,"['Mary and Max', 'France']","['The Lord of the Rings: The Two Towers', 'Czech Republic']","['The Song of Bernadette', 'Japan']"
76,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,film regional debut venue,,/film/film/regional_debut_venue,/film/film/regional_debut_venue,/film/film/debut_venue.,film regional debut venue,has regional debut at,has regional debut venue at,"['America America', 'Madrid']","['Searching for Debra Winger', 'Cannes Film Festival']","['Elite Squad: The Enemy Within', 'Seattle']"
77,/award/award_winning_work/awards_won./award/award_honor/honored_for,awarded alongside,,wd:P166,P166 honoredfor,honoredFor,honored for,honored_for,honored_for,"['Rear Window', 'Dial M for Murder']","['Cobra', 'Lock Up']","['The Adventures of Pluto Nash', 'Imagine That']"
78,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,capital of,P1376,capitalOfAdminDiv.,capitalOfAdministrativeDivision,capitalOfAdminDiv,capital of administrative division,capital_of_administrative_division,/location/capital_of_administrative_division/capital_of.,"['Staunton', 'Augusta County']","['Bhopal', 'Madhya Pradesh']","['Fort Wayne', 'Allen County']"
79,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,mortage estimation source,,estimatedNumberofMortgagesSource,P854,P854,estimated number of mortgages sourced from United States Department of Housing and Urban Development,estimated number of mortgages.,/estimated_number_of_mortgages./measurement_unit/dated_integer/source,"['Jackson County', 'United States Department of Housing and Urban Development']","['Stearns County', 'United States Department of Housing and Urban Development']","['La Crosse', 'United States Department of Housing and Urban Development']"
80,/award/award_category/winners./award/award_honor/ceremony,part of award ceremony,,/award/award_honor/ceremony,/award/award_honor_ceremony,/award/award_honor_ceremony,Winners of award category ceremony,winners. ceremony,Winners received awards at a specific ceremony.,"['Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series', '60th Primetime Emmy Awards']","['Grammy Award for Best Male Rock Vocal Performance', '1993 Grammy Awards']","['Grammy Award for Best Southern, Country or Bluegrass Gospel Album', '42nd Annual Grammy Awards']"
81,/people/person/languages,native language,P103,languageSpokenByPerson,/native_language/,language spoken by,People speak various languages.,people speaks languages.,/people/person/languages spoken,"['Selma Blair', 'English']","['Jennifer Jason Leigh', 'English']","['Michael Fassbender', 'English']"
82,/film/actor/film./film/performance/film,cast member of,P161_inv,P1619,/film/performance/film,P161:acted_in,Performed in film,/film/actor/film./film/performance/film.,"(actor, starred in, film)","['Jessica Biel', 'The A-Team']","['Peter Weller', 'Mighty Aphrodite']","['Daniel Craig', 'Casino Royale']"
83,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,revenue currency,P38,P3068,P3063,P2130,The revenue measurement unit currency is United States dollar.,has revenue in currency,currency is United States dollar,"['University of San Francisco', 'United States dollar']","['Bryn Mawr College', 'United States dollar']","['Howard University', 'United States dollar']"
84,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,top dog breeds,,topBreedsCityDogBreed,/dogCityTopBreeds/breed,cityWithTopBreeds.dogBreed,/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,/top_breeds./dog_breed,City's top dog breed,"['Knoxville', 'Yorkshire Terrier']","['Orlando', 'Bulldog']","['Long Beach', 'German Shepherd']"
85,/sports/sports_team_location/teams,sports teams headquatered here,P159_inv,teamLocation,location_teams,/sports/team_location,sports teams located in a specific location,/sports/sports_team_location/teams,/sports/sports_team_location/teams,"['Syracuse', 'Syracuse Crunch']","['Los Angeles', 'USC Trojans football']","['Boston', 'Boston Bruins']"
86,/film/film/music,composer,P86,filmScoreComposer,composer.,instance of (P31),The films have music composed by different artists.,/film/film/music,/film/film/music: Film has music composed by certain musician.,"['Live Free or Die Hard', 'Michael Kamen']","['Apollo 13', 'James Horner']","['Monsoon Wedding', 'Mychael Danna']"
87,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,appears in draft picks,,draft_pick_for_team,draftPickOfLeague,drafted.year,drafted in,professional sports team draft pick draft,Drafted in: 2004 Major League Baseball draft,"['Minnesota Twins', '2007 Major League Baseball draft']","['San Antonio Spurs', '2003 NBA draft']","['Minnesota Twins', '1995 Major League Baseball draft']"
88,/education/educational_institution/students_graduates./education/education/major_field_of_study,academic discipline,P101,P106: major field of study,P5697,educationalMajorFieldOfStudy,/major_field_of_study,majoring in,Major field of study of students or graduates of an educational institution,"['Pennsylvania State University', 'fine art']","['New York University', 'mathematics']","['University of Louisiana at Lafayette', 'art']"
89,/people/ethnicity/geographic_distribution,geographic distribution,,geographicDistribution,located in,geographicDistributionOf,geographic distribution of people by ethnicity,geographic distribution of ethnic groups,geographic distribution,"['Lebanese Americans', 'Illinois']","['Overseas Chinese', 'Singapore']","['Filipino people', 'Hong Kong']"
90,/sports/sports_league/teams./sports/sports_league_participation/team,sports teams,P118_inv,/sports/leagueTeam,/sports/league/team??????,/sports/league/participating_team,participates in,/sports/sports_league_participation/team,teams participation in sports leagues,"['UEFA', 'Moldova national football team']","['EFL Championship', 'Bristol City F.C.']","['Serie A', 'Inter Milan']"
91,/education/educational_degree/people_with_this_degree./education/education/student,notable people with this academic degree,P512_inv,P69,instance of educational degree recipient,/P69,People with Bachelor of Science degree include Donald Sutherland,People who studied for a bachelor's degree include Reese Witherspoon.,people with bachelor's degree from education degree student,"['Bachelor of Science', 'Donald Sutherland']","['Bachelor of Arts', 'Barack Obama']","[""bachelor's degree"", 'Alex Gibney']"
